Jan,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Total
1,53,50.1,46,48,43.9,37,83,79.2,71,28,14.3,7,29.6,29.4,29.2,0.25
2,50,44.1,41,44,38.4,35,93,80.8,68,17,9.3,5,29.7,29.6,29.5,0
3,61,50.7,46,46,41.9,24,93,75.1,24,23,10.3,0,29.5,29.4,29.2,0.29
4,46,43.8,41,42,37.8,34,90,79.4,68,21,14.1,0,29.9,29.7,29.4,0.36
5,47,43.9,42,40,37.2,35,89,77.6,66,21,14.5,7,29.9,29.8,29.7,0.07
6,51,47.7,41,49,45.4,38,96,91.7,89,23,16.8,7,29.8,29.6,29.6,0.21
7,54,49.8,46,47,44.8,40,89,83,66,24,15.3,8,29.6,29.3,29.2,1.3
8,45,40.2,34,40,34.8,32,93,81.4,68,20,11.5,3,29.5,29.4,29.3,0.08
9,39,35.9,33,35,33.6,30,100,91.5,79,8,3.7,0,29.8,29.7,29.5,0.04
10,45,40.7,35,42,37.2,33,97,87.4,81,22,12.6,6,29.7,29.4,29.1,0.08
11,46,43.3,39,43,37.8,33,90,81.3,63,22,15,6,29.5,29.3,29.1,0.51
12,44,39.5,33,40,33.4,27,92,79,65,18,14.9,7,29.4,29.2,29,0.07
13,37,33.3,30,34,29.9,26,96,87.4,73,13,8.8,0,29.4,29.4,29.3,0.17
14,35,31.6,28,28,26.2,23,92,81,61,21,9.6,0,29.5,29.4,29.3,0.09
15,46,37.2,32,31,23.8,18,78,58.8,48,20,15.5,10,29.5,29.2,28.9,0.01
16,45,39.8,35,36,31.3,26,89,73,49,15,9.7,3,29.4,29.2,29.1,0.01
17,42,37.9,33,33,30.5,28,89,75.5,62,13,7.2,0,29.7,29.6,29.4,0
18,51,43.8,39,43,37.4,32,89,78.8,63,16,9.9,5,29.8,29.7,29.6,0.16
19,53,50.2,46,47,37.6,33,86,62.6,47,16,9.2,0,29.8,29.7,29.5,0.2
20,53,49.3,44,42,38.7,32,93,68.2,45,14,5.4,0,29.5,29.4,29.2,0.03
21,52,46.7,45,42,39.7,32,90,77.2,47,22,14.5,3,29.5,29.3,29.1,0.03
22,50,46.4,44,47,42.2,38,93,85.6,76,16,9.5,5,29.6,29.5,29.5,0.49
23,55,52.4,50,51,49.3,47,96,89.1,74,21,10.7,5,29.5,29.4,29.4,0.25
24,52,49.7,48,48,46.5,45,96,88.8,80,17,10.3,5,29.5,29.5,29.4,1.14
25,52,48.3,46,49,44.9,42,93,88.2,80,10,5.1,0,29.5,29.5,29.3,0.37
26,53,49.1,47,46,43.2,40,93,80.8,63,21,12.1,7,29.6,29.5,29.3,0.32
27,51,46.2,43,45,40.5,36,93,80.9,59,18,9.9,3,29.7,29.6,29.4,0.11
28,53,48.5,47,47,44.9,42,96,87.8,77,16,7.2,0,29.7,29.6,29.4,0.78
29,50,48.1,45,47,45.2,42,96,89.9,86,18,5.9,0,29.8,29.7,29.6,0.5
30,51,45.4,43,49,43,39,100,91.6,79,14,6.7,0,29.8,29.7,29.6,0.37
31,58,54.7,51,54,51.1,48,97,88.2,70,23,16.6,8,29.6,29.6,29.4,0.56
